,username,comment,date,likes
55,@SonnyBCreative,"The officer was too focused on getting the arrest. The man was drunk and calm. So I think the officer didn't have to rush to arrest him. He tried to handcuff him in a few seconds. I feel this could've had a very safe outcome if the officer would've kept a calm pace and explain the the guy first, then arrest, just as he took time to explain and confirm about the breath test.  The man may have turned around by himself and surrendered.",3 years ago,0
56,@menghic531,"Very sad ending!   First of all, the suspect is mainly responsible for his own death.  Get out of the car and comply with the police.  You don't fight with the police, take any weapon and run. Yes, a taser can't kill you , but you mustn't take anything from the police.  What was the purpose of said action?!",3 years ago,1
57,@ladyslovelucas82,They woke him up told him to pull over to a parking spot and get some sleep but then he passed out again then the cops woke him up again and started questioning him. That was cut from the video.,3 years ago,1
58,@rogerdread38,We must always look within ourselves frist. And make the changes. Starting to show love between ourselves. Then we'll see the real changes,3 years ago,4
59,@ariraquel4567,They edited out alot of footage..the police were not mean to him he chose to resist arrest after approximately 40 mins of talking calmly to him,3 years ago,0
60,@Machinedead,"He could have just gotten away with a night in jail and maybe losing his driver's license, but he just had to resist arrest and run away with a taser (and then shoot it at the police ?? Huh ? ) , ok, that was stupid dude ! Guy nust have been really drunk or really high on drugs....",3 years ago,11
61,@youracherrynut442,this one's contentious but I think we can all agree that he didn't have to lose his life given that he was initially co-operating and interacting with the officer in a friendly manner,3 years ago,0
62,@dub3140,"The sad thing is,is he could have refused the breathalyzer.They were not sure what he was doing.They didnt suspect he was drunk at first.And they didnt catch him driver drunk either.Just parked resting.They didnt have to do anything but drive him home.Instead they chose to go this route smh.",3 years ago,0
63,@DarthJeremy364,seeing the comments for this video gives me hope for humanity.,3 years ago,3
64,@tsu8003,There's a 43 minute unedited version of the police cam that shows 41 minutes of an ordinary decent police officer doing his duty politely and courteously and 2 minutes of a criminal resisting arrest!,3 years ago,0
65,@BlessedIndeed1,I was pinched for DWI over 30 years ago by 2 white cops. I was polite and listened to their commands. I ran a red light and was pulled over. They were justified in pulling me over. Went to the station and met the lieutenant. A gentleman who treated me with respect. He was doing his job. Did I curse him or threaten him or his officers? No. They noted this to the judge. I still had to pay a price. Yet I am alive today to speak about it.,3 years ago,0
66,@bananascoconutvr3271,"And this is the attitude of so many ....shoot someone if they’ve done you wrong....if someone runs away  with your wallet/purse do you shoot them?
How you answer determines what side of humanity  you really are on .....
Awful ...and another example of why we need complete overhaul of the justice system",3 years ago,9
67,@JeremiahMuchangi,"Traffic offenses in some developed countries are handled by CCTV and mailed fines. 
However, a minor traffic violation like a bad light bulb is likely to get guns drawn and unnecessary interactions with multiple police units turning up in gun republic.",3 years ago,0
68,@SteveReason82,"If he was in Wendy’s drive thru, what was the point of checking his person? They could of simply told him that he’s  drunk and that he either needs to call for a ride home or stay the night in his car at the Wendy’s until he sobers up. Why were they trying to arrest him if he wasn’t even on the road driving?",3 years ago,0
69,@michaelsuder3956,I’m wondering if he had a little something on him that he shouldn’t have. A DUI isn’t a huge offense - especially when you’re just sitting passed out in a drive through,3 years ago,0
70,@Jeff-kw8jj,"The suspect held all the power in regards to what happened during the investigation.   At any time he could have submitted.  Too many suspects believe they can stop an arrest, they cannot.  Submit to the arrest and fight the charges later..if you don't think you should be arrested DO NOT FIGHT, TALK TO OR RUN FROM THE OFFICER IT IS NOT THE TIME!!!!!",3 years ago,0
71,@sue9038,"We all are free to choose our sins,  not the consequences  of those sins.",3 years ago,0
72,@mrphysics2625,"amazing how so many ppl claiming ""its just a taser"" that he stole dont seem to know what happens to a person that gets tased.

he aimed it back at the cops while running away which is shown on the wendys security camera footage.",3 years ago,31
73,@MrDank132,If he had cooperated he would still be alive. They were treating him with respect until he tried to run and then shot at them with the tazer. He shouldn't have been shot but honestly that's what they're trained to do so it's not their fault. Its the laws and training in that area. Why did he run??,3 years ago,55
74,@JohnOhkumaThiel,"I’m on the side of the victim overall, but from what I’m seeing both in these videos and others is that everything was fine until they tried to put the handcuffs on him, then he resisted, grabbed the cop’s taser pistol, took it, ran, pointed it back at the officer that was chasing him with the intention to tase him, and then he was shot with a firearm.",3 years ago,1
75,@bri9146,"If they didnt want to deal with it that day, they could have said, "" call somebody to get you"" a lot of people get junk and fight all the time. They have no judgement. He had no weapon but taser.",3 years ago,0
76,@karyn19,"Imminent threat includes him incapacitating an officer with the tazer and then possibly gaining posession of the service weapon. Split second like that, he had already showed himself to be willing to steal a weapon and use it.",3 years ago,12
77,@bekind5044,I wasn’t there but I think the officer should have offered him a ride home. Perhaps ask the driver to call for a ride and tow his car.  Just trying to arrest wasn’t the answer.  I understand he was drunk but he was not not diving at the time of incident (sleeping in the car).  God help us as a Nation!,3 years ago,1
78,@metallicak5,"The guy fired a taser at the police. At that point, you’re in the wrong, buddy.",3 years ago,16
79,@jasonargonaught8744,"I don't know if anyone is catching it but the cop who was chasing him had already stuck his taser cables into Brooks. It looked like he was running with those attached and at some point he pointed the taser that he grabbed as a way to ward off by maybe trying to distract the cop so he could put distance between them. I also am wondering from some of the other footage, it looks like the cop pulled out his taser and hit him with it and Brooks grabbed it to keep it from being used against him. Then decided that it might be best to take it with him as he ran away so that it couldn't be used to electrocute him as he fled.",3 years ago,0
80,@tonyb9185,"You do not have to do the field sobriety test,as you can fail it for normal reasons,they can not make you do it",3 years ago,0
81,@Usernameusername206,"Why resist arrest? If you are innocent, sort it out at the jail! People think, oh I'm going to get physical, and they will let me go?! Stupid!!",3 years ago,1
82,@sas9577,I applaud the officers for the way they handled this. You dont resist arrest because you're drunk. He even assaulted the an officer while trying to be contained and stole a taser and fired it upon the officer.  Everyone who thinks this was handle wrongly what if the story changed and the person driving drunk hit and killed someone then what... The outcome is sad but the person should of just went to jail his actions caused him to end up being shot and now he's dead.,3 years ago,0
83,@Strength_In_Wisdom,"I don't know how many have seen this story on CNN. But the cars moved after rayshard was shot once. The same officer proceeded to walk  his way to Rayshard Brooks, still living body, and shot him in the back again.",3 years ago,0
84,@tlhaloyn8485,Let that man run away. You have his car and his info. Don't shoot that man in the back for a minor or major offense.,3 years ago,64
85,@belescli,"Even if he had a gun, why do they shoot at him? Why can’t they run after him or just let him go? They have his car there to get his identification so that they can deal with him later.  How sick is the mind of police to think they can just shoot someone because a person did not subject to them?!?! Sick!",3 years ago,0
86,@JavierFernandez01,This makes sense. I was struggling with this one. But that last 20 seconds or so really drove the point home.,3 years ago,1
87,@thomwessels2281,"Just terrible that lethal force was used. If he just wasn't drunk, blocked a business, failed a FST, resisted arrest, fought with them to get away, TOOK THE LEOs TASER, FIRED IT AT HIM while fleeing....none of this would have ever happened.",3 years ago,1
88,@petergraziano5146,"In Canada hear they usually first will block his car so he/she can’t drive off, then they will ask questions while you are in the car. At no time do they allow you to get out of the car until more officers arrive. At that point they might put handcuffs on you for the safety of both parties. It was wrong of them asking him to get out of his car before asking him questions",3 years ago,0
89,@socialbuttfli78,In this day and age it is NOT beneficial to your health to run from the cops AND fire a taser at them.  The cops should've just caught up with him later on when he came home to make the arrest. His life saved and money in their pockets.,3 years ago,0
90,@zebontheweb,"I like drinking... but I don’t get behind the wheel when I do it.  Dude was so drunk he fell asleep with the car running.  At that point the police have to do something, and you have to admit there’s a problem.",3 years ago,31
91,@youjunshi5329,Holy shit! What a tragedy!,3 years ago,0
92,@callmecaution1,How people are saying that the police shot him because he is black is absolutely mindblowing to me. They gave him 3 opportunities to pull into a parking space without a breathalyzer. Dude totally escalated the situation on his own.,3 years ago,0
93,@robinsmith979,They had a reason to shoot him during the fight but they had no reason to chase him and shoot him down since they had his ID. It's not self defense if you chase and kill a person who's in possession of a non lethal weapon while you have a gun.,3 years ago,9
94,@daphnewheeler470,"Why didn't they show the part where he was speaking to them, admitted that he had a couple drinks, told them he had no problem walking home and that his sister lived close by. He tried to reason with them and they still insisted on arresting him.",3 years ago,0
95,@loudbeep,"If you watch the full video from the Wendy’s camera, the officers chased him down on foot and only shot at him after Brooks discharged the taser at them and headed for a car in the drive through.",3 years ago,0
96,@Faisal600,This is another reason why cops should be trained on deescalating situational procedures and communication,3 years ago,27
97,@sebastiansoto9972,"The Chief mentions the protocol for when deadly forced is authorized via policy, that stems from Tennessee v. Garner if you want to read up on it. All he had was 1 shot of the officers own taser, should not have escalated to the point it did. It was a bad shooting (per policy) which is why it was a clear cut case for the police to have him turn in his badge and face charges.",3 years ago,0
98,@scottishroad_pinoy9084,"“In fear of imminent to your life or the life of another to use deadly force.” All cops should know that. We took the same test before going into law enforcement. Common sense and a heart is what’s lacking. What clouds these cops minds are power behind the uniform and their guns. Their true characters shows. No one used their heads, sad a life is gone.",3 years ago,2
99,@kevinlangford7059,Funny how they cut off 40 minutes of these officers going out of their way to be nice to this guy. It also showed just how drunk this guy was.,3 years ago,12
100,@dereka.2507,"He couldn’t have been that drunk if he was asleep at the drive through of Wendy’s. Now if you found someone in the drive through Taco Bell asleep after ordering a Crunchwrap,that person is beyond drunk falling asleep after having placed such a dank order.",3 years ago,0
101,@Numbuh161588,"So the guy fought the police when they tried to put handcuffs on him after being passed out drunk in a drivethru, got tazed and still ran off. Then the other camera angle from Wendy’s shows him take something from a cop and point it at them while trying to escape... Seems like a pretty bad guy to me, I’d expect to be shot if I did the same things he did",3 years ago,0
102,@jeanbedessounda3571,saying you have no weapon really doesn't mean anything anymore..,3 years ago,86
103,@scetchmonkey007,"The real problem is two police officers should of been able to overpower him and subdue him. Instead they lost their tazer in the fight, and he did try to use it against them.",3 years ago,0
104,@keybraker,"First of all he was o  private property, a drive through if I am not mistaken, which means that the cops have no authority to be there even if he is sleeping, and over the influence of alcohol.
The fact that they shoot him because he did not want to go to jail for a crime that is punished by a ticket, is no reason to shoot him leathaly, they should try and catch him or seize the car, after all he would eventually come back for it.",3 years ago,1
105,@asaspayde7259,Have YOU seen the transcript.!?!?  It was NOT over 20 bucks  !!! He was outta his mind. The clerk was genuinely  concerned  for him,3 years ago,0
106,@parappasan,"I dont know if this is actually on the cops.  You cant allow someone to struggle or flee when arresting them, even if you must shoot them, regardless of the offense.  Someone could have shoplifted a loaf of bread, but he tries to take your sidearm or run away there's no choice.",3 years ago,1
107,@steelcitysteve8794,"Some people are sick in the head. Dui, resisting arrest and assault on a police officer are all crimes and he should have received 2 to 8 years in prison depending on the judge. Not a death sentence on the spot. No man should be judge jury and executioner as that cop chose to be.",3 years ago,1
108,@lewismorris5931,They sure cut that clip off quick!,3 years ago,134
109,@XavierDarkhand,"Saw the whole clip; this one is marred with speaking over it, making it difficult to get a clear picture.
The cops weren't racist or hostile, they were actually very polite. So was the victim. It's awful because all parties were super chill until the final split second the guy's decision process went south.",3 years ago,10
110,@markparfett5380,I am seeing 3 things here. 1 police competence 2. Police incompetence 3. A felon who makes a bad decision to run. The cops checked that he didn’t have a weapon. How did he think he was gonna get away with not being arrested and then try and run and leave behind his car. He is gone now but demonstrates that each party must take some responsibility!,3 years ago,0
111,@avitia38super,He seems to be standing on one leg just fine.,3 years ago,0
112,@pamelawing626,"Gotta love that alcohol.  I'm thinking, as I watched it, ""what in gawd's name do you think you  are doing?!!!!!!""  He should not have been shot, they had his license, knew where he lived, they should have let him go.",3 years ago,0
113,@jacksmith5692,"I watched the entire video multiple times and was shocked how professional that the cops were. They bent over backwards being professional to a guy obviously impaired and the number that he blew proved that. In other words, the guy was bombed and then instead of him complying he acted aggressively grabbing the taser gun and now the cops feared if they were hit and down he could have grabbed the gun and killed them.",3 years ago,0
114,@Irish_all_day,You guys need to post whole videos. For clarity I was talking about the rest of the commentators opinion.,3 years ago,271
115,@kingcolga266,"Taser in United States is not considered a deadly weapon and also the guy was running away and he didn’t even really aimed at the police, just shot the taser behind him and kept running.The cop can’t even say he fear for his life because he chased after the guy and gunned him down. First Degree Murder. Premeditated. if anything, they should just let him go, they had his information his license plate, his face and his name and they could’ve just picked him up later and took him to jail. I’m a lawyer here in Georgia.",3 years ago,0
116,@beckamiller4900,"When someone is driving while intoxicated, fighting police officers, running and firing a taser at the officer in pursuit, he was an imminent threat to the officers, the public, and himself before he stepped out of his vehicle.",3 years ago,9
117,@geoycs,Exactly! You have to be in fear of your life or protecting the life of someone else if you are to use deadly force!! You can’t just shoot a drunk guy because he panics and runs away. When the FUCK are these cops going to actually get it through their heads that this kind of policing is wrong?,3 years ago,0
118,@ahauntedplace,"It’s just another day at the office for these guys, smh so sad. Shoot an impaired man in the back because he pointed a taser off to the side low to the ground. The man would have clearly missed & you fire 3 rounds at damn near point blank range. He is a human being!!! Did everyone else see the cops face while he was questioning him...?? He better get prosecuted.",3 years ago,0
119,@workisworktv7831,He took one of the officers tasers and ran. Just not caught on this clip that they showed.,3 years ago,62
120,@danniboi82,He should've complied and the police shouldn't have used a damn gun in that kind of situation.. period,3 years ago,40
121,@kyle9438,"He drove under the influence, fell asleep in his car, resisted arrest, punched the police, stole a taser, upon fleeing turned and fired the taser at the police officer who no longer had the less lethal taser option.",3 years ago,0
122,@gulfwhiskeyiv9314,So could he have been considered an imminent threat because he was in possession of the officers Taser and he could have used it against the officer to acquire the officer's service pistol which could have possibly resulted in the death of both officers and possibly innocent bystanders?,3 years ago,0
123,@zeusincoming282,"I wonder why an employee couldnt have just went out and knocked on his window. Ive worked a Slow drive thru window before and people do doze off!  I just went out and knocked on glass, and that usually solved the problem!. I could see if I knocked and the person was unresponsive,but cleary, this wasnt the case.",3 years ago,0
124,@ebttt,We should not over react. I believe they tried to do the right thing. Try to put yourself in their shoes.,3 years ago,0
125,@pierrebibeau9861,"Although he did not need to be killed, I will always wonder why he ran.",3 years ago,0
126,@silvergeist43,Wow! I didn't know drunk driving got you the death penalty.,3 years ago,7
127,@digitadigita3578,"Some shootings are just hate and unprovoked.  But most of these cop shootings involved some kind of struggle and running away.  Brooks struggled and fight his way including grabbing the police taser.   Even if Brooks is patted down and has no weapon on him.  Once he stole the taser, he can use it on the officer and then grab his gun.    Travon Martin also fought and tried to grab the gun away.   In the video, George Floyd also resisted and struggled with the police several moments before being kneed to death..  But these has a cause and effect, despite its overuse of force.  It may be the police force policy or training that made cops do this when the suspect is not complying.",3 years ago,0
128,@sebastiaanbakker3319,In more civilized countries we use actual scientific tests to determine whether someone is drunk or not. Making people do humiliating 'exercises' is ridiculous. And this guy gets shot because of it. Human life deserves more respect.,3 years ago,6
129,@davidraimundo7554,"The commentator is correct about the  use of  deadly force, irregardless of what transpired before.  While the officers had at their disposal the use of overwhelming force, the suspect did not. A taser doesn't qualify.  However, with that being said, once an officer is incapacitated with a taser then, access to his firearm is possible.",3 years ago,0
130,@tacotuesday1781,All these people out there think it's okay to shoot a man in the back while he's running away from you. Damn.,3 years ago,0
131,@paulh.2144,The whole point here is STOP RESISTING ARREST!!!,3 years ago,1
132,@toriantobryant7516,We got to do better we got to think before we act,3 years ago,49
133,@sawdust6148,"I could have understood if the officer shot once in the legs to disable the guy and subsequently detain him. BUT HE SHOT HIM 3 FREAKING TIMES!! 3 TIMES!!

YOU DON'T SHOOT SOMEONE 3 TIMES UNLESS YOU INTEND TO KILL! THESE OFFICERS ARE TERRIBLY TRAINED",3 years ago,0
134,@MyMotherWasaNinja,"The bias is always in the edit. Provide the full footage for the public to decide. This is what transparency, truth and credibility demands.",3 years ago,0
135,@whatabouttheearth,"He might of been drunk and when they were gonna cuff him he drunkenly thought ""heres my chance to dip"", as any self respecting drunk person would at least think of.",3 years ago,0
136,@glenmassey3746,"That was beyond unnecessary, even if he had grabbed the stun gun he fired it rendering it useless, and they had the car, which made finding him easy. There was no reason to even consider him a threat that was basically see a man go down unload your weapon.",3 years ago,0
137,@timildeepsPlatformgaming,"I saw an individual resisting arrest then after that its anybody's guess. The individual might have been reaching for an officer's gun/taser during the scuffle. The point is he broke the law, it could have been all avoided if he just complied, and not resisted.",3 years ago,0
138,@debiekins4108,They had his car that could be traced to him and an arrest could have been made later. The chase and shooting was absolutely unnecessary,3 years ago,59
139,@katrinamail2me,"They left out the non important part of the suspect taking the tazer from the officer, running away, and then firing the tazer at the officer.  That video was released before this one.",3 years ago,0
140,@Logan-0120,Although this is an example of what a suspect should never do because it's asking to be shot. What a cop has to remember is that if someone is running away from you and you shot them than you're killing in retaliation to them resisting you! The officer is not shooting the suspect in fear of his own survival!,3 years ago,0
141,@wilywascal2024,"""I'm really concerned that military has been brought in and the National Guard — I think that's a really radical step,"" Lia Cheek, 32, told Business Insider. ""Part of me feels like it's turning into a military state.""
""It's a sign of who our president is — he likes to control, he likes to bully, and he's using our military and our people and our tax dollars to bully us and control us, and that's not OK,"" she added. ""We need to keep protesting and using our voices.""",3 years ago,0
142,@winaykumar6988,"Criminals don't follow Police instructions and run.
What's the point of having Laws if these people don't follow them.
Salute to Police for dealing with these oddities.",3 years ago,1
143,@thesinzer,Thank you for teaching me what I saw.,3 years ago,0
144,@helenbuchanan1213,"There is an issue with deadly force being used unnecessarily in some cases.. The Tony timpa, Ethan saylor  cases illustrate it isn't necessarily racial. It seems to effect all shades. Usually people from economically disadvantaged backgrounds or with disabilities / vulnerabilities wrought through mental illness or addiction.",3 years ago,14
145,@solarpowerhome,"They leave out the part that he took a cops tazer, tazed him, then after fighting with the cops, while running away, fire the tazer at the other cop.

Do you know how you don't get shot in a wendy's parking lot when you're passed out drunk? Don't fight with the cops, then taze them.",3 years ago,18
146,@oo3813,He left out a big part of the use of deadly force. “If your life or another is in imminent danger or threat of serious bodily injury” an officer getting tased and  eating cement is very very bad for the . Use of deadly force was authorized . Tasers are LESS lethal and not NON Lethal devices.,3 years ago,0
147,@trese2658,I agree he should not have done any of that with the police But that does not equal to a death sentence. You can still live on after being tased but you probably won’t make it after being shot by a gun,3 years ago,0
148,@krblumentable,"He doesn't have a weapon until he fights and takes a weapon in which then he has a weapon. He didn't mention that. He also didn't mention that he gained the DUI test. Bottom line, don't be a crook.",3 years ago,0
149,@zev1500,"Yes, just carefully leave out the part where he took the taser from the police",3 years ago,0
150,@johnyoung9113,"The odds of bad stuff happening to you, increase when you resist arrest.",3 years ago,24
151,@harvesfesting,There needs to be a new law that states you can only use your weapon (gun) if you know-see and record them having it and can confirm. Yes the man was dead wrong for running but police are supposed to be trained to take back control of these situations without taking the easy way out and killing someone. That should not even be a resort in this situation.,3 years ago,0
152,@yusufbabangidasulaiman4422,"If the Cop really believes he is drunk, why don't they think he fought them under influence and let him run away since they got his ID, they have more than million ways of chatting him. He may even turn him self in when he is back to his senses. Is a person worth dying while trying to run away from you?",3 years ago,0
153,@a.i.8583,No way this cop gets convicted.,3 years ago,0
154,@decus9544,"Well atleast the guy in this case had actually committed a crime and had resisted arrest, so it's a step up from simply being murdered outright as so often appears to be the case.",3 years ago,0
155,@retay3621,Unbelievable....he was obviously intoxicated....he was obviously unarmed.....why the hen does he end up dead?  This needs to be reformed....these officers need to be trained properly on how to manage in a non violent way.  ENOUGH IS ENOUGH.,3 years ago,0
